City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind Speed
nioro,30,GM,1563411203,71,13.79,-15.05,81.06,11.45
port elizabeth,75,US,1563411204,94,39.31,-74.98,86.0,11.41
hithadhoo,93,MV,1563411205,66,-0.6,73.08,83.22,7.85
aberdeen,90,US,1563411206,100,46.98,-123.82,66.2,13.87
namibe,14,AO,1563410930,86,-15.19,12.15,68.1,3.22
anadyr,75,RU,1563411208,63,64.73,177.51,62.6,11.18
perleberg,13,DE,1563411209,82,53.08,11.86,60.01,4.12
geraldton,90,CA,1563411178,56,49.72,-86.95,71.6,5.82
east london,38,ZA,1563411212,56,-33.02,27.91,56.04,4.81
mehamn,75,NO,1563411213,87,71.03,27.85,44.6,14.99
nikolskoye,90,RU,1563411214,88,59.7,30.79,62.6,4.47
saskylakh,73,RU,1563411215,63,71.97,114.09,46.68,11.56
gamba,8,CN,1563411216,73,28.28,88.52,39.12,3.24
chicama,90,PE,1563411217,88,-7.84,-79.15,62.6,11.41
bandarbeyla,23,SO,1563411218,59,9.49,50.81,78.72,30.15
usogorsk,2,RU,1563411220,76,63.43,48.71,48.66,3.83
kieta,33,PG,1563411221,67,-6.22,155.63,83.94,2.86
hilo,90,US,1563411222,65,19.71,-155.08,80.6,11.41
qaanaaq,0,GL,1563411223,46,77.48,-69.36,45.78,0.96
lebu,65,ET,1563411132,94,8.96,38.73,54.6,2.42
nanakuli,75,US,1563411225,69,21.39,-158.15,90.0,12.75
storforshei,27,NO,1563411226,86,66.4,14.52,42.18,3.71
cabo san lucas,5,MX,1563411168,54,22.89,-109.91,91.99,12.75
tura,7,RU,1563411229,58,64.27,100.22,58.38,15.66
daru,99,PG,1563411230,88,-9.07,143.21,76.02,10.27
busselton,57,AU,1563411231,77,-33.64,115.35,59.0,8.37
punta arenas,20,CL,1563411232,86,-53.16,-70.91,33.8,5.82
kidal,83,ML,1563411233,26,18.44,1.41,95.1,6.58
mareeba,20,AU,1563411234,60,-16.99,145.42,71.6,16.11
airai,96,TL,1563411236,56,-8.93,125.41,77.1,1.74
huntingdon,99,GB,1563411035,82,52.33,-0.18,64.99,3.36
pevek,94,RU,1563411238,92,69.7,170.27,33.0,7.05
meulaboh,99,ID,1563411239,80,4.14,96.13,81.24,9.98
khatanga,0,RU,1563411240,54,71.98,102.47,60.0,5.35
edea,75,CM,1563411241,100,3.8,10.13,77.0,3.36
puerto ayora,6,EC,1563411242,93,-0.74,-90.35,70.0,4.0
elizabethton,75,US,1563411244,78,36.35,-82.21,77.0,5.82
ola,100,RU,1563411245,98,59.58,151.3,48.3,7.34
vao,9,EE,1563411246,89,59.1,26.19,56.76,6.62
lichuan,67,CN,1563411247,90,30.3,108.94,74.94,2.53
ladan,42,UA,1563411248,92,50.51,32.59,53.16,5.68
boca do acre,75,BR,1563411249,68,-8.76,-67.39,77.28,0.69
changji,98,CN,1563411251,94,32.07,116.17,76.92,6.15
klaksvik,94,FO,1563411252,100,62.23,-6.59,50.0,8.05
torbay,90,CA,1563411253,82,47.66,-52.73,64.4,10.29
murray bridge,78,AU,1563411254,88,-35.12,139.28,54.0,5.01
kununurra,24,AU,1563411256,23,-15.77,128.74,73.4,11.41
faanui,37,PF,1563411257,69,-16.48,-151.75,77.28,15.86
honningsvag,75,NO,1563411258,87,70.98,25.97,44.6,14.99
sirsaganj,21,IN,1563411259,64,27.06,78.69,84.66,9.37
swabi,25,PK,1563411260,57,34.13,72.47,87.0,6.13
riyadh,0,SA,1563411258,13,24.63,46.72,84.2,6.93
tuatapere,100,NZ,1563411263,77,-46.13,167.69,50.0,1.99
kavieng,20,PG,1563411264,75,-2.57,150.8,83.4,11.18
graaff-reinet,50,ZA,1563411265,19,-32.25,24.53,57.66,8.28
lagos,20,NG,1563411266,88,6.46,3.39,77.0,3.36
krk,0,HR,1563411267,73,45.03,14.57,73.99,2.24
vanimo,6,PG,1563411268,78,-2.67,141.3,79.98,3.0
dhidhdhoo,100,MV,1563411270,81,6.88,73.1,81.06,24.56
lompoc,1,US,1563411084,68,34.64,-120.46,73.0,13.87
washington,1,US,1563410810,88,38.9,-77.04,78.01,4.7
butaritari,79,KI,1563411273,68,3.07,172.79,83.76,6.76
barrow,81,AR,1563411163,72,-38.31,-60.23,55.14,15.55
tazovskiy,100,RU,1563411275,79,67.47,78.7,54.06,8.23
lata,52,IN,1563411276,92,30.78,78.62,43.26,0.58
danvers,40,US,1563411049,94,42.58,-70.93,75.0,5.28
thompson,90,CA,1563411153,43,55.74,-97.86,73.4,4.7
iqaluit,75,CA,1563411279,58,63.75,-68.52,59.0,5.82
lingao,100,CN,1563411281,77,19.91,109.69,85.2,14.38
tuktoyaktuk,40,CA,1563411282,82,69.44,-133.03,57.2,10.29
kruisfontein,94,ZA,1563411283,53,-34.0,24.73,53.7,4.12
kysyl-syr,0,RU,1563411284,53,63.9,122.77,55.32,14.67
jamestown,22,AU,1563411285,87,-33.21,138.6,47.76,8.16
saint george,20,GR,1563411286,88,39.45,22.34,64.4,1.77
bam,0,IR,1563411287,55,29.11,58.36,65.22,2.39
alto araguaia,64,BR,1563411289,57,-17.32,-53.22,72.42,5.59
ribeira grande,0,PT,1563411290,86,38.52,-28.7,72.06,13.13
lakes entrance,69,AU,1563411291,60,-37.88,147.99,55.99,3.0
cape town,75,ZA,1563411221,82,-33.93,18.42,57.99,16.11
camacha,40,PT,1563411293,68,33.08,-16.33,69.8,11.41
caravelas,96,BR,1563411294,69,-17.73,-39.27,72.42,18.66
magalia,40,US,1563411295,28,39.81,-121.58,98.6,11.41
urusha,2,RU,1563411296,48,54.05,122.9,75.12,3.71
shagamu,20,NG,1563411298,88,6.84,3.65,77.0,3.36
naze,99,NG,1563411299,96,5.43,7.07,73.32,3.76
champerico,90,MX,1563411300,62,16.38,-93.6,84.2,16.11
nemuro,75,JP,1563411301,94,43.32,145.57,68.0,11.41
tarnobrzeg,0,PL,1563411302,93,50.57,21.68,54.0,6.93
gat,20,SN,1563411304,83,14.69,-16.54,82.4,5.82
swan river,100,CA,1563411305,83,52.11,-101.27,63.78,6.93
algete,0,ES,1563411341,41,40.6,-3.5,82.0,8.05
kloulklubed,75,PW,1563411342,74,7.04,134.26,86.0,8.05
bilibino,98,RU,1563411343,71,68.06,166.44,41.82,7.23
bilma,19,NE,1563411344,22,18.69,12.92,94.2,9.78
san patricio,0,PY,1563411346,90,-26.98,-56.83,53.34,5.17
qasigiannguit,100,GL,1563411347,81,68.82,-51.19,46.4,5.82
emilio carranza,100,MX,1563411348,68,19.97,-96.61,82.68,2.1
oranjemund,0,ZA,1563411349,76,-28.55,16.43,55.86,6.24
katsuura,75,JP,1563411350,94,33.93,134.5,81.0,18.34
knysna,0,ZA,1563411118,38,-34.04,23.05,59.0,6.93
tiksi,93,RU,1563411352,84,71.64,128.87,38.94,12.53
high level,75,CA,1563411353,31,58.52,-117.13,78.8,4.7
daund,23,IN,1563411355,79,18.46,74.58,74.94,9.15
nanortalik,100,GL,1563411356,95,60.14,-45.24,40.74,1.52
provideniya,75,RU,1563411357,77,64.42,-173.23,59.0,20.13
guaraniacu,15,BR,1563411358,84,-25.1,-52.88,48.3,4.09
coquimbo,0,CL,1563411359,87,-29.95,-71.34,51.8,3.36
hobart,75,AU,1563411361,57,-42.88,147.33,50.0,5.82
bredasdorp,90,ZA,1563411361,63,-34.53,20.04,63.0,4.7
tasiilaq,0,GL,1563411363,81,65.61,-37.64,48.2,2.24
san quintin,100,PH,1563411364,92,17.54,120.52,76.74,12.68
kahului,40,US,1563411365,62,20.89,-156.47,87.8,19.46
petropavlovsk-kamchatskiy,33,RU,1563411366,64,53.05,158.65,69.8,6.71
husavik,95,CA,1563411368,80,50.56,-96.99,73.99,5.01
vestmannaeyjar,60,IS,1563411369,93,63.44,-20.27,52.44,4.83
mazyr,95,BY,1563411370,96,52.05,29.27,49.92,6.93
herbertpur,90,IN,1563411371,100,30.44,77.74,73.4,3.36
mar del plata,100,AR,1563411372,78,-46.43,-67.52,38.76,18.52
castro,0,CL,1563411373,81,-42.48,-73.76,42.8,5.82
pisco,0,PE,1563411374,77,-13.71,-76.2,62.6,17.22
hambantota,40,LK,1563411376,94,6.12,81.12,78.8,10.29
grindavik,20,IS,1563411377,93,63.84,-22.43,55.4,11.41
illapel,100,CL,1563411378,96,-31.63,-71.17,50.1,4.9
ponta do sol,40,BR,1563411368,59,-20.63,-46.0,56.4,5.01
rundu,0,NA,1563411380,41,-17.91,19.77,59.0,3.36
pontes e lacerda,45,BR,1563411382,53,-15.23,-59.33,74.22,4.34
mendi,95,ET,1563411383,95,9.8,35.1,59.82,4.03
port lincoln,99,AU,1563411384,76,-34.72,135.86,56.94,24.23
lavrentiya,100,RU,1563411385,67,65.58,-170.99,59.82,6.04
bristol,79,GB,1563411321,82,51.45,-2.6,64.99,8.05
luderitz,0,NA,1563411387,76,-26.65,15.16,48.2,1.12
saint-philippe,75,CA,1563411368,88,45.36,-73.48,78.01,5.57
marienburg,0,DE,1563411389,87,52.12,9.98,57.2,1.12
norman wells,75,CA,1563411391,82,65.28,-126.83,68.0,6.93
brewster,75,US,1563411392,94,41.76,-70.08,75.99,22.08
edd,92,ER,1563411393,51,13.93,41.69,89.88,3.06
bati,92,ET,1563411394,73,11.19,40.02,68.82,6.89
san lazaro,40,BZ,1563411395,83,18.04,-88.66,86.0,9.17
san cristobal,84,HN,1563411359,82,14.68,-86.92,71.16,10.11
sambava,64,MG,1563411398,88,-14.27,50.17,61.26,3.47
la ronge,75,CA,1563411399,56,55.1,-105.3,69.8,4.7
narsaq,100,GL,1563411400,66,60.91,-46.05,53.6,4.7
mount gambier,40,AU,1563411401,76,-37.83,140.78,50.0,11.41
baoshan,75,CN,1563411403,83,31.41,121.49,86.0,6.71
bethel,90,US,1563411404,72,60.79,-161.76,62.6,14.99
powell river,75,CA,1563411191,64,49.84,-124.52,75.2,6.93
santa isabel,40,MX,1563411406,14,32.63,-115.58,107.6,8.05
khorixas,0,NA,1563411407,17,-20.37,14.96,61.08,7.83
sikonge,41,TZ,1563411409,62,-5.63,32.75,61.62,4.9
kerman,0,IR,1563411410,10,30.29,57.06,69.8,4.7
brive-la-gaillarde,61,FR,1563411411,75,45.16,1.53,61.0,2.01
belaya gora,100,RU,1563411412,49,68.54,146.19,49.2,13.76
padang,100,ID,1563411413,83,-0.92,100.36,81.06,12.88
neiafu,40,TO,1563411414,69,-18.65,-173.98,80.6,9.17
le port,83,FR,1563411416,55,42.87,1.37,69.01,2.48
zhanaozen,0,KZ,1563411417,43,43.35,52.85,83.94,13.33
taksimo,77,RU,1563411418,62,56.36,114.84,71.34,4.43
yar-sale,95,RU,1563411419,70,66.83,70.83,65.94,12.19
port hedland,0,AU,1563411420,23,-20.31,118.58,64.4,9.17
nantucket,75,US,1563411422,94,41.28,-70.1,77.0,13.22
georgetown,40,GY,1563411423,83,6.8,-58.16,82.4,11.41
outjo,0,NA,1563411424,24,-20.11,16.16,57.2,4.7
nevelsk,75,RU,1563411425,82,46.67,141.86,68.0,13.42
dongsheng,98,CN,1563411426,95,29.72,112.52,77.64,9.71
victoria,75,BN,1563411427,88,5.28,115.24,82.4,1.12
sampit,48,ID,1563411429,91,-2.54,112.95,74.94,2.15
zharkent,0,KZ,1563411430,52,44.17,80.0,56.04,1.23
fairbanks,40,US,1563411148,41,64.84,-147.72,78.01,4.7
acapulco,75,MX,1563411432,70,16.86,-99.88,86.0,3.36
arvika,21,SE,1563411433,100,59.65,12.59,57.2,2.24
makueni,81,KE,1563411435,93,-1.8,37.62,58.56,1.83
alofi,90,NU,1563411436,100,-19.06,-169.92,75.2,10.29
lagoa,0,PT,1563411437,64,37.14,-8.45,71.6,5.82
key west,1,US,1563411438,65,47.93,-96.78,82.4,11.41
kodiak,1,US,1563411440,29,39.95,-94.76,93.2,11.41
dudinka,0,RU,1563411441,56,69.41,86.18,68.0,6.71
nikolayevskaya,90,RU,1563411442,64,43.22,44.21,68.0,4.47
roma,0,IT,1563411349,52,41.89,12.48,72.0,3.36
esperance,33,AU,1563411444,81,-33.86,121.89,51.8,5.82
vila franca do campo,20,PT,1563411402,82,37.72,-25.43,64.4,2.24
bartica,40,GY,1563411446,100,6.41,-58.62,75.2,6.93
monrovia,75,LR,1563411447,88,6.33,-10.8,77.0,10.65
dolores,33,UY,1563411449,73,-33.53,-58.22,53.01,5.01
asahikawa,75,JP,1563411450,65,43.76,142.37,77.0,12.75
eganville,1,CA,1563411451,50,45.54,-77.1,75.99,3.04
takhli,88,TH,1563411452,72,15.26,100.34,81.24,1.03
ossora,100,RU,1563411453,83,59.24,163.07,59.82,3.94
parabel,29,RU,1563411455,82,58.71,81.5,64.86,6.04
dikson,0,RU,1563411169,71,73.51,80.55,45.24,8.46
aligudarz,8,IR,1563411457,31,33.4,49.69,65.22,2.48
sorland,0,NO,1563411458,81,67.67,12.69,49.02,19.26
avarua,0,CK,1563411283,69,-21.21,-159.78,77.0,17.22
calamar,61,CO,1563411460,97,1.96,-72.65,72.24,2.24
salmas,0,IR,1563411461,36,38.2,44.77,64.4,6.93
mount isa,0,AU,1563411463,22,-20.73,139.49,69.8,14.99
mahebourg,75,MU,1563411373,77,-20.41,57.7,69.8,18.34
fort nelson,75,CA,1563411465,31,58.81,-122.69,77.0,10.29
sur,17,OM,1563411466,63,22.57,59.53,81.6,11.81
vanavara,0,RU,1563411467,71,60.35,102.28,70.8,10.02
churapcha,82,RU,1563411468,70,62.0,132.43,59.82,10.71
bambous virieux,75,MU,1563411470,77,-20.34,57.76,69.8,18.34
nyurba,0,RU,1563411471,52,63.29,118.35,54.78,11.05
krasnyy chikoy,91,RU,1563411472,88,50.36,108.75,63.78,2.06
xinzhi,75,TW,1563411473,74,22.54,120.62,88.0,5.82
marzuq,20,YE,1563411474,53,14.4,46.47,76.02,7.07
middlebury,1,US,1563411476,100,44.01,-73.17,75.0,3.36
entablado,90,PH,1563411477,100,14.12,121.39,79.0,11.41
pacific grove,1,US,1563411478,68,36.62,-121.92,86.0,6.93
red bluff,1,US,1563411479,23,40.18,-122.24,100.99,14.99
taltal,0,CL,1563411480,89,-25.41,-70.49,49.56,2.08
buin,60,CL,1563411482,81,-33.73,-70.74,50.0,8.05
takoradi,60,GH,1563411404,95,4.89,-1.75,72.78,2.62
lubumbashi,0,CD,1563411484,54,-11.66,27.48,53.52,7.16
richards bay,0,ZA,1563411485,39,-28.77,32.06,69.9,4.92
xingyi,74,CN,1563411486,94,24.19,102.82,63.42,2.84
anloga,20,GH,1563411292,88,5.79,0.9,77.0,13.87
skerries,20,IE,1563411489,87,53.58,-6.11,55.99,9.17
southbridge,75,US,1563411490,100,42.08,-72.03,75.2,3.09
nago,20,IT,1563411491,72,45.88,10.89,77.0,2.24
vardo,5,US,1563411492,88,39.62,-77.74,80.6,1.79
vostok,100,RU,1563411493,94,46.45,135.83,66.48,5.68
clyde river,90,CA,1563411494,100,70.47,-68.59,39.2,9.17
yulara,0,AU,1563411266,54,-25.24,130.99,53.6,8.05
yarim,24,YE,1563411497,68,14.3,44.38,70.8,3.69
bonthe,100,SL,1563411498,84,7.53,-12.5,76.92,6.49
launceston,41,AU,1563411499,65,-41.43,147.14,50.0,10.29
sao felix do xingu,19,BR,1563411500,56,-6.64,-51.99,74.76,1.34
flinders,0,AU,1563411455,41,-34.58,150.85,63.0,16.11
kungurtug,0,RU,1563411502,59,50.6,97.53,57.84,1.45
springfield,75,US,1563411374,88,42.1,-72.59,77.0,10.2
los llanos de aridane,90,ES,1563411397,68,28.66,-17.92,71.6,18.34
panhala,26,IN,1563411506,97,16.81,74.11,69.36,4.07
urambo,38,TZ,1563411507,57,-5.07,32.07,64.14,6.08
shimanovsk,5,RU,1563411508,69,52.0,127.67,72.06,5.12
jining,21,CN,1563411426,66,35.41,116.58,80.16,7.11
egvekinot,99,RU,1563411510,58,66.32,-179.17,57.3,10.49
gravdal,88,NO,1563411511,93,59.79,5.78,57.0,12.75
guerrero negro,19,MX,1563411513,88,27.97,-114.04,67.2,14.61
muhos,90,FI,1563411514,93,64.81,26.0,48.2,1.12
makakilo city,75,US,1563411515,69,21.35,-158.09,89.6,12.75
iquique,90,CL,1563411516,67,-20.22,-70.14,60.8,11.41
kovdor,81,RU,1563411518,78,67.56,30.47,45.78,1.39
waitati,87,NZ,1563411519,56,-45.75,170.57,48.48,5.37
camopi,84,GF,1563411520,98,3.17,-52.33,72.42,1.48
upernavik,100,GL,1563411521,88,72.79,-56.15,44.88,13.98
fortuna,40,US,1563411522,64,40.6,-124.16,71.6,13.87
soe,27,EE,1563411524,93,57.91,26.05,57.2,5.82
bukama,0,CD,1563411525,38,-9.2,25.85,60.36,2.24
kaniama,0,CD,1563411526,34,-7.57,24.18,63.24,6.11
guigue,50,VE,1563411527,95,10.09,-67.78,70.08,0.38
arlit,36,NE,1563411528,17,18.74,7.39,98.34,5.99
tiarei,20,PF,1563411530,54,-17.53,-149.33,80.6,9.17
katobu,40,ID,1563411531,82,-4.94,122.53,77.82,6.42
aklavik,75,CA,1563411532,60,68.22,-135.01,75.2,4.7
turukhansk,0,RU,1563411424,61,65.8,87.96,70.8,12.55
tahoua,0,NE,1563411534,65,14.89,5.26,82.4,11.41
rio de janeiro,0,BR,1563411536,88,-22.91,-43.21,64.4,1.12
batticaloa,100,LK,1563411537,75,7.71,81.69,76.56,2.21
vredendal,100,ZA,1563411538,90,-31.68,18.49,56.04,17.67
lake cowichan,75,CA,1563411539,49,48.82,-124.05,73.4,6.93
northam,75,AU,1563411540,93,-31.65,116.67,51.8,8.05
faya,0,SA,1563411542,45,18.39,42.45,69.8,0.96
pangai,20,TO,1563411543,69,-19.8,-174.35,80.6,9.17
carnarvon,78,ZA,1563411387,20,-30.97,22.13,47.22,5.97
jackson,1,US,1563411327,66,32.3,-90.18,89.6,5.14
bouza,14,NE,1563411546,38,14.42,6.04,90.96,12.3
palmer,75,AU,1563411547,87,-34.85,139.16,55.99,14.99
la rioja,0,AR,1563411505,66,-29.41,-66.86,53.34,2.48
hualmay,66,PE,1563411550,89,-11.1,-77.61,61.26,18.16
bahia honda,86,CU,1563411551,72,22.9,-83.16,85.02,11.16
craig,1,US,1563411552,23,40.52,-107.55,89.6,5.82
auki,41,NG,1563411553,76,12.18,6.51,77.64,11.21
vila velha,20,BR,1563411555,78,-3.71,-38.6,86.0,9.17
plettenberg bay,83,ZA,1563411556,40,-34.05,23.37,58.74,4.27
zyryanka,100,RU,1563411460,57,65.73,150.89,57.3,15.57
gobabis,0,NA,1563411558,26,-22.45,18.97,55.4,4.7
biala podlaska,0,PL,1563411559,96,52.03,23.12,51.36,8.88
sao filipe,100,CV,1563411357,76,14.9,-24.5,73.86,4.59
xining,100,CN,1563411561,78,36.62,101.77,53.34,2.04
zhaozhou,9,CN,1563411562,60,45.71,125.27,79.08,4.47
batemans bay,0,AU,1563411564,44,-35.71,150.18,61.0,4.0
ciudad bolivar,52,VE,1563411565,73,8.12,-63.55,79.98,2.89
touros,40,BR,1563411566,94,-5.2,-35.46,75.2,5.82
tyrma,35,RU,1563411567,73,50.04,132.17,71.34,2.71
havelock,40,US,1563411422,74,34.88,-76.9,84.99,14.99
suba,96,CN,1563411569,92,28.73,103.51,68.82,1.23
aitape,20,PG,1563411571,65,-3.15,142.36,83.94,1.14
ambilobe,12,MG,1563411572,65,-13.19,49.05,65.22,8.05
hobyo,50,SO,1563411573,69,5.35,48.53,76.02,22.68
boyolangu,98,ID,1563411574,90,-8.09,111.9,68.64,5.5
new waterford,20,US,1563411575,83,40.85,-80.61,77.0,4.7
mount pleasant,1,US,1563411313,62,33.16,-94.97,93.0,4.7
sibolga,100,ID,1563411303,78,1.74,98.78,81.42,6.55
carutapera,1,BR,1563411579,86,-1.2,-46.02,77.28,4.45
kudahuvadhoo,100,MV,1563411370,76,2.67,72.89,81.78,13.22
westport,75,US,1563411581,78,41.14,-73.36,82.4,4.7
kurumkan,8,RU,1563411582,56,54.33,110.32,68.64,2.48
semnan,0,IR,1563411583,27,35.58,53.39,74.94,6.42
zhigansk,0,RU,1563411584,52,66.77,123.37,50.1,31.79
ostersund,64,SE,1563411586,82,63.18,14.64,55.4,6.93
kalemie,0,CD,1563411587,67,-5.95,29.2,61.8,3.83
hohhot,63,CN,1563411512,78,40.81,111.65,71.6,4.47
saint-joseph,75,FR,1563411589,88,43.56,6.97,73.4,3.36
altamirano,0,AR,1563411590,62,-35.36,-58.15,59.0,9.17
inhambane,0,MZ,1563411591,80,-23.87,35.38,58.2,4.85
strezhevoy,0,RU,1563411592,82,60.73,77.6,68.0,2.86
salym,20,RU,1563411593,84,60.06,71.48,55.14,6.06
sorong,100,ID,1563411595,93,-0.86,131.25,76.56,5.79
raudeberg,100,NO,1563411596,93,61.99,5.14,55.4,6.93
sfantu gheorghe,0,RO,1563411597,82,44.65,26.83,69.01,8.05
robe,29,ET,1563411598,93,7.12,40.01,47.22,6.6
lac du bonnet,100,CA,1563411599,94,50.25,-96.06,70.0,2.19
praia,0,BR,1563411600,63,-20.25,-43.81,60.8,6.93
hay river,75,CA,1563411602,50,60.82,-115.79,75.2,9.17
tomaszow mazowiecki,0,PL,1563411544,93,51.53,20.01,55.0,1.12
hammerfest,75,NO,1563411604,93,70.66,23.68,42.8,10.29
maragogi,7,BR,1563411352,91,-9.01,-35.22,68.1,2.89
veraval,0,FR,1563411606,72,49.65,0.71,60.8,8.05
hounde,0,BF,1563411607,66,11.5,-3.52,78.18,4.92
dingle,100,PH,1563411359,84,11.0,122.67,80.34,14.81
ilulissat,100,GL,1563411610,81,69.22,-51.1,46.4,5.82
salta,0,AR,1563411611,76,-24.79,-65.41,53.6,4.7
jati,30,PK,1563411612,76,24.35,68.27,81.6,12.06
bonanza,100,NI,1563411613,98,14.03,-84.62,72.24,0.81
coihaique,90,CL,1563411614,80,-45.58,-72.07,39.2,6.93
alice springs,0,AU,1563411615,50,-23.7,133.88,57.2,6.93
yagodnoye,76,RU,1563411616,50,62.52,149.63,65.58,6.85
sokoto,39,NG,1563411618,52,13.06,5.24,86.28,13.31
severo-kurilsk,80,RU,1563411619,96,50.68,156.12,44.34,6.96
minas novas,34,BR,1563411620,90,-17.22,-42.59,58.74,5.3
la paz,5,MX,1563411621,26,24.15,-110.32,95.0,11.41
krasnaya gorbatka,100,RU,1563411622,98,55.87,41.76,57.48,7.27
polson,90,US,1563411623,67,47.69,-114.16,66.0,8.05
albi,0,FR,1563411379,56,43.93,2.15,71.6,9.17
deputatskiy,98,RU,1563411625,76,69.3,139.9,38.22,10.54
yeppoon,0,AU,1563411627,32,-23.13,150.74,68.0,12.75
harper,40,US,1563411628,43,30.3,-99.24,91.4,12.75
north bend,90,US,1563411416,82,43.41,-124.22,71.01,9.17
houma,100,CN,1563411630,81,35.63,111.36,68.46,2.37
porto seguro,75,BR,1563411631,88,-16.44,-39.06,68.0,5.82
monticello,1,US,1563411632,83,40.03,-88.57,84.99,5.82
slave lake,1,CA,1563411450,46,55.28,-114.77,73.4,13.87
tres arroyos,81,AR,1563411635,72,-38.38,-60.28,55.14,15.55
upington,0,ZA,1563411636,26,-28.46,21.24,46.4,1.12
grua,75,AT,1563411637,93,46.83,14.22,60.8,3.36
terney,100,RU,1563411638,99,45.05,136.61,61.8,2.68
unai,87,BR,1563411602,47,-16.36,-46.91,73.5,2.62
ust-kulom,100,RU,1563411640,82,61.69,53.69,49.02,6.06
abu dhabi,20,AE,1563411535,79,24.47,54.37,89.6,6.93
khani,75,GE,1563411642,94,41.96,42.96,68.0,2.24
deqing,40,CN,1563411644,84,30.54,119.97,87.01,4.47
wajima,75,JP,1563411645,94,37.4,136.9,73.4,1.12
yatou,75,CM,1563411646,100,3.63,9.81,77.0,3.36
balikpapan,91,ID,1563411647,95,-1.24,116.86,73.32,3.69
sola,66,TZ,1563411648,58,-3.17,33.8,66.3,7.36
iralaya,75,HN,1563411378,78,15.0,-83.23,82.4,8.05
cayenne,0,GF,1563411650,94,4.94,-52.33,75.2,3.89
berettyoujfalu,40,HU,1563411652,82,47.22,21.55,59.0,5.82
trairi,73,BR,1563411653,88,-3.28,-39.27,72.24,4.05
moindou,0,NC,1563411654,41,-21.69,165.68,75.2,3.36
kalianget,84,ID,1563411655,85,-7.35,109.91,69.18,1.28
rocha,40,UY,1563411656,94,-34.48,-54.34,48.48,8.39
oron,100,NG,1563411657,93,4.81,8.23,74.58,6.24
baruun-urt,48,MN,1563411659,57,46.68,113.28,74.76,7.38
novoagansk,70,RU,1563411660,86,61.94,76.66,64.86,5.41
amga,97,RU,1563411661,91,60.89,131.98,61.98,8.39
pangnirtung,40,CA,1563411662,50,66.15,-65.72,52.44,5.06
la spezia,0,IT,1563411663,93,44.11,9.83,70.0,3.36
flin flon,97,CA,1563411664,70,54.77,-101.88,62.34,4.12
sinegorye,65,RU,1563411665,56,62.09,150.53,64.32,7.83
maceio,20,BR,1563411629,88,-9.67,-35.74,69.8,1.12
marawi,85,PH,1563411668,65,8.0,124.29,84.0,4.0
